,cleanwords
1421,declined
1422,position
1423,pills
1424,excellent
1425,constitution
1426,mrs
1427,bradford
1428,reproachful
1429,tone
1430,get
1431,benjamin
1432,day
1433,ll
1434,lose
1435,life
1436,because
1437,set
1438,hanker
1439,aunt
1440,ben
1441,good
1442,humoredly
1443,see
1444,have
1445,had
1446,place
1447,mustn
1448,get
1449,discouraged
1450,quick
1451,stay
1452,home
1453,afternoon
1454,ben
1455,asked
1456,tony
1457,tony
1458,have
1459,engagement
1460,james
1461,watson
1462,aunt
1463,jane
1464,late
1465,supper
1466,don
1467,frightened
1468,ben
1469,found
1470,james
1471,ready
1472,waiting
1473,set
1474,lovell
1475,grounds
1476,situated
1477,mile
1478,half
1479,comprised
1480,acres
1481,sloping
1482,pond
1483,provided
1484,pleasure
1485,boats
1486,grounds
1487,frequently
1488,hired
1489,parties
1490,neighboring
1491,towns
1492,having
1493,been
1494,fitted
1495,enjoyment
1496,crowd
1497,day
1498,engaged
1499,young
1500,people
1501,association
1502,program
1503,included
1504,things
1505,athletic
1506,sports
1507,grounds
1508,pretty
1509,filled
1510,boys
1511,arrived
1512,fact
1513,performance
1514,had
1515,commenced
1516,time
1517,fun
1518,boys
1519,george
1520,herman
1521,mutual
1522,acquaintance
1523,coming
1524,meet
1525,george
1526,fat
1527,man
1528,race
1529,hundred
1530,yards
1531,prize
1532,dollars
1533,going
1534,enter
1535,tom
1536,hayden
1537,landlord
1538,milltown
1539,house
1540,jim
1541,morrison
1542,tailor
1543,weighs
1544,hundred
1545,fifty
1546,hundred
1547,forty
1548,good
1549,laughed
1550,ben
1551,fun
1552,start
1553,don
1554,see
1555,chalk
1556,mark
1557,men
1558,level
1559,track
1560,laid
1561,extending
1562,hundred
1563,yards
1564,occasions
1565,attractive
1566,features
1567,lovell
1568,grounds
1569,men
1570,advanced
1571,starting
1572,line
1573,accoutered
1574,race
1575,had
1576,divested
1577,coats
1578,stood
1579,shirt
1580,sleeves
1581,breathing
1582,hard
1583,anticipation
1584,race
1585,bulky
1586,forms
1587,appeared
1588,great
1589,advantage
1590,excited
1591,considerable
1592,amusement
1593,tom
1594,hayden
1595,heavier
1596,had
1597,encircled
1598,waist
1599,leather
1600,strap
1601,confined
1602,closely
1603,young
1604,lady
1605,waist
1606,advice
1607,frank
1608,jones
1609,young
1610,fellow
1611,noted
1612,runner
1613,don
1614,stand
1615,frank
1616,hayden
1617,gasping
1618,breath
1619,mr
1620,hayden
1621,ll
1622,see
1623,breathe
1624,ve
1625,got
1626,tight
1627,frank
1628,jones
1629,loosened
1630,turned
1631,morrison
1632,won
1633,have
1634,girdle
1635,mr
1636,morrison
1637,asked
1638,don
1639,want
1640,suffocated
1641,start
1642,have
1643,made
1644,hayden
1645,make
1646,have
1647,won
1648,prize
1649,ready
1650,gentlemen
1651,asked
1652,frank
1653,jones
1654,officiated
1655,starter
1656,ready
1657,expect
1658,answered
1659,hayden
1660,draw
1661,long
1662,breath
1663,failing
1664,start
1665,word
1666,amid
1667,shouts
1668,applause
1669,fat
1670,men
1671,started
1672,started
1673,arrows
1674,bow
1675,exerted
1676,uncommonly
1677,faces
1678,grew
1679,red
1680,efforts
1681,made
1682,colossal
1683,legs
1684,hurried
1685,ground
1686,fast
1687,expected
1688,beat
1689,easily
1690,james
1691,watson
1692,course
1693,wait
1694,till
1695,ve
1696,got
1697,carry
1698,look
1699,morrison
1700,truth
1701,morrison
1702,legs
1703,entangled
1704,tumbled
1705,rolled
1706,go
1707,win
1708,hayden
1709,shouted
1710,fifty
1711,voices
1712,gasping
1713,competitor
1714,seventy
1715,yards
1716,remained
1717,traversed
1718,look
1719,hayden
1720,win
1721,race
1722,opposition
1723,breath
1724,pressed
1725,hands
1726,stomach
1727,stopped
1728,deliberately
1729,sat
1730,track
1731,don
1732,give
1733,yelled
1734,crowd
1735,keep
1736,prize
1737,gasped
1738,hayden
1739,wouldn
1740,times
1741,prize
1742,don
1743,want
1744,prize
1745,awarded
1746,crowd
1747,had
1748,fun
1749,fat
1750,competitors
1751,sat
1752,rest
1753,tree
1754,recover
1755,efforts
1756,hour
1757,boys
1758,race
1759,asked
1760,ben
1761,boys
1762,race
1763,order
1764,enter
1765,ben
1766,prize
1767,dollars
1768,ben
1769,eyes
1770,sparkled
1771,win
1772,thought
1773,equal
1774,week
1775,pay
1776,factory
1777,chapter
1778,iv
1779,boys
1780,race
1781,ben
1782,felt
1783,chances
1784,winning
1785,prize
1786,good
1787,schoolmates
1788,distinguished
1789,superiority
1790,athletic
1791,sports
1792,jump
1793,farther
1794,run
1795,faster
1796,boys
1797,age
1798,ground
1799,hope
1800,hand
1801,contestants
1802,had
1803,measured
1804,boys
1805,acquaintance
1806,hundreds
1807,boys
1808,city
1809,surpassed
1810,ben
1811,hopeful
1812,determined
1813,win
1814,committee
1815,forward
1816,announced
1817,boys
1818,race
1819,distance
1820,prize
1821,dollars
1822,limitation
1823,age
1824,boy
1825,seventeen
1826,years
1827,age
1828,permitted
1829,enter
1830,going
1831,compete
1832,james
1833,asked
1834,ben
1835,guess
1836,don
1837,stand
1838,chance
1839,don
1840,know
1841,stumble
1842,give
1843,dollars
1844,enter
1845,ben
1846,james
1847,enter
1848,names
1849,coming
1850,george
1851,asked
1852,ben
1853,george
1854,herman
1855,lamed
1856,jumping
1857,yesterday
1858,condition
1859,brother
1860,frank
1861,going
1862,enter
1863,course
1864,won
1865,stand
1866,chance
1867,young
1868,put
1869,radford
1870,kelso
1871,run
1872,radford
1873,fat
1874,george
1875,cormack
1876,fat
1877,retorted
1878,radford
1879,stand
1880,chance
1881,arthur
1882,clark
1883,frank
1884,jones
1885,tall
1886,long
1887,limb
1888,looking
1889,dangerous
1890,rivals
1891,strangers
1892,ben
1893,afraid
1894,fellows
1895,outrun
1896,ben
1897,james
1898,taller
1899,hold
1900,course
1901,hundred
1902,yards
1903,ben
1904,announcement
1905,made
1906,behalf
1907,committee
1908,distance
1909,increased
1910,hundred
1911,yards
1912,race
1913,hundred
1914,fifty
1915,yards
1916,boys
1917,fourteen
1918,prize
1919,dollars
1920,half
1921,frank
1922,george
1923,herman
1924,brother
1925,had
1926,wait
1927,enter
1928,race
1929,charlie
1930,go
1931,edward
1932,kemp
1933,harry
1934,jones
1935,george
1936,huntingdon
1937,entered
1938,names
1939,race
1940,list
1941,declared
1942,complete
1943,active
1944,made
1945,youth
1946,advanced
1947,expressed
1948,compete
1949,had
1950,reached
1951,grounds
1952,learned
1953,race
1954,run
1955,gave
1956,john
1957,miles
1958,boston
1959,george
1960,know
1961,asked
1962,ben
1963,believe
1964,visiting
1965,friends
1966,milltown
1967,looks
1968,run
1969,made
1970,running
1971,question
1972,has
1973,had
1974,training
1975,going
1976,decide
1977,matter
1978,places
1979,boys
1980,order
1981,contestants
1982,names
1983,have
1984,been
1985,given
1986,took
1987,places
1988,line
1989,john
1990,miles
1991,glanced
1992,carelessly
1993,contemptuously
1994,rivals
1995,ll
1996,show
1997,run
1998,kind
1999,frank
2000,jones
2001,stood
2002,run
2003,know
2004,have
2005,practiced
2006,running
2007,gymnasium
2008,miles
2009,pompously
2010,running
2011,world
2012,run
2013,scientific
2014,principles
2015,frank
2016,jones
2017,laughed
2018,condescending
2019,run
2020,go
2021,fun
2022,get
2023,suppose
2024,expect
2025,win
2026,prize
2027,course
2028,prevent
2029,don
2030,pretend
2031,run
2032,ve
2033,supposed
2034,run
2035,have
2036,run
2037,gymnasium
2038,runners
2039,boy
2040,pointing
2041,ben
2042,good
2043,runner
2044,john
2045,miles
2046,contemptuously
2047,head
2048,taller
2049,mere
2050,baby
2051,see
2052,time
2053,called
2054,signal
2055,start
2056,given
2057,boys
2058,started
2059,simultaneously
2060,arthur
2061,clark
2062,fastening
2063,girdle
2064,waist
2065,delayed
2066,rods
2067,boys
2068,kept
2069,pretty
2070,gradually
2071,drew
2072,rest
2073,john
2074,miles
2075,frank
2076,jones
2077,ben
2078,bradford
2079,arthur
2080,clark
2081,loss
2082,start
2083,put
2084,disadvantage
2085,race
2086,half
2087,john
2088,miles
2089,led
2090,fifteen
2091,feet
2092,ben
2093,bradford
2094,frank
2095,jones
2096,overtake
2097,john
2098,miles
2099,wore
2100,face
2101,complacent
2102,smile
2103,assured
2104,victory
2105,hundred
2106,yards
2107,frank
2108,ben
2109,had
2110,partially
2111,closed
2112,gap
2113,john
2114,miles
2115,intent
2116,progress
2117,ben
2118,had
2119,leisure
2120,observe
2121,miles
2122,beginning
2123,lose
2124,ground
2125,seemed
2126,clear
2127,inferior
2128,ben
2129,sustained
2130,power
2131,hope
2132,thought
2133,ben
2134,tired
2135,end
2136,put
2137,spurt
2138,see
2139,snatch
2140,victory
2141,go
2142,win
2143,exclaimed
2144,frank
2145,jones
2146,got
2147,wind
2148,don
2149,stranger
2150,carry
2151,prize
2152,ben
2153,feet
2154,john
2155,fifty
2156,yards
2157,run
2158,time
2159,john
2160,miles
2161,became
2162,apprehensive
2163,turned
2164,head
2165,sufficiently
2166,see
2167,boy
2168,had
2169,considered
2170,beneath
2171,notice
2172,heels
2173,baby
2174,beat
2175,tried
2176,increase
2177,distance
2178,spurt
2179,gained
2180,temporary
2181,advantage
2182,lost
2183,end
2184,attempt
2185,exhausted
2186,strength
2187,compelled
2188,slacken
2189,speed
2190,farther
2191,twenty
2192,yards
2193,goal
2194,rivals
2195,neck
2196,neck
2197,spurt
2198,ben
2199,gathered
2200,darted
2201,forward
2202,strength
2203,gained
2204,feet
2205,rival
2206,tried
2207,vain
2208,make
2209,excitement
2210,intense
2211,popular
2212,sympathy
2213,ben
2214,known
2215,milltown
