,cleanwords
1243,hector
1244,called
1245,informed
1246,had
1247,place
1248,heartily
1249,congratulated
1250,officers
1251,greatly
1252,affected
1253,kindness
1254,proof
1255,estimation
1256,father
1257,had
1258,been
1259,held
1260,had
1261,intended
1262,colonel
1263,time
1264,entering
1265,army
1266,felt
1267,discredit
1268,regiment
1269,go
1270,world
1271,equipment
1272,scottish
1273,gentleman
1274,have
1275,captain
1276,mackenzie
1277,captain
1278,home
1279,ask
1280,act
1281,furnishers
1282,know
1283,required
1284,young
1285,officer
1286,staff
1287,general
1288,viscount
1289,turenne
1290,called
1291,accompany
1292,court
1293,discredit
1294,course
1295,have
1296,clothes
1297,campaign
1298,arms
1299,have
1300,kept
1301,father
1302,sword
1303,pistols
1304,see
1305,tailors
1306,undertake
1307,get
1308,clothes
1309,ready
1310,quickly
1311,accompany
1312,turenne
1313,italy
1314,days
1315,suit
1316,finished
1317,days
1318,wait
1319,turenne
1320,staying
1321,hotel
1322,duc
1323,de
1324,bouillon
1325,possibly
1326,presented
1327,cardinal
1328,nthe
1329,dress
1330,french
1331,gentleman
1332,reign
1333,louis
1334,xiii
1335,differed
1336,slightly
1337,worn
1338,time
1339,cavaliers
1340,charles
1341,consisted
1342,loose
1343,cloak
1344,cloth
1345,silk
1346,satin
1347,velvet
1348,occasion
1349,wealth
1350,wearer
1351,generally
1352,hung
1353,loosely
1354,shoulders
1355,top
1356,buttons
1357,fastened
1358,sleeves
1359,loose
1360,open
1361,elbow
1362,cloak
1363,richly
1364,embroidered
1365,fell
1366,collar
1367,rich
1368,lace
1369,vandyke
1370,border
1371,beneath
1372,worn
1373,short
1374,tightly
1375,fitted
1376,doublet
1377,embroidered
1378,front
1379,puffed
1380,sleeves
1381,belt
1382,sash
1383,round
1384,waist
1385,breeches
1386,full
1387,reaching
1388,knee
1389,walking
1390,riding
1391,loose
1392,high
1393,boots
1394,turned
1395,top
1396,trimmed
1397,lace
1398,frillings
1399,joined
1400,breeches
1401,court
1402,dress
1403,silk
1404,stockings
1405,shoes
1406,rosettes
1407,worn
1408,swords
1409,hung
1410,richly
1411,embroidered
1412,baldrick
1413,going
1414,shoulder
1415,officers
1416,regiments
1417,distinguished
1418,colour
1419,sashes
1420,point
1421,regimental
1422,uniformity
1423,campaign
1424,doublets
1425,worn
1426,thick
1427,buff
1428,leather
1429,armour
1430,cumbrous
1431,had
1432,been
1433,consisting
1434,part
1435,solely
1436,shoulder
1437,pieces
1438,cuirass
1439,plates
1440,covering
1441,upper
1442,part
1443,arm
1444,thick
1445,buff
1446,leather
1447,gauntlets
1448,considered
1449,sufficient
1450,protection
1451,elbow
1452,suits
1453,ordered
1454,hector
1455,court
1456,general
1457,paris
1458,large
1459,towns
1460,travelling
1461,attendance
1462,general
1463,fourth
1464,actual
1465,service
1466,field
1467,expensive
1468,suits
1469,shirts
1470,deep
1471,lace
1472,collars
1473,ruffle
1474,service
1475,field
1476,half
1477,dozen
1478,plain
1479,shirts
1480,purchased
1481,headdress
1482,ordinary
1483,occasions
1484,broad
1485,beaver
1486,hat
1487,plumes
1488,field
1489,close
1490,fitting
1491,helmet
1492,cheek
1493,pieces
1494,visors
1495,had
1496,been
1497,given
1498,day
1499,hector
1500,presented
1501,appointed
1502,hour
1503,hotel
1504,duc
1505,de
1506,bouillon
1507,dressed
1508,costumes
1509,wore
1510,time
1511,father
1512,sword
1513,hall
1514,numbers
1515,soldiers
1516,lackeys
1517,see
1518,viscount
1519,turenne
1520,appointment
1521,lackey
1522,led
1523,large
1524,chamber
1525,officers
1526,gentlemen
1527,waiting
1528,hector
1529,gave
1530,chamberlain
1531,took
1532,apartment
1533,waited
1534,half
1535,hour
1536,observed
1537,officers
1538,room
1539,lackey
1540,had
1541,carried
1542,nobles
1543,gentlemen
1544,numerous
1545,shown
1546,evidently
1547,principal
1548,reception
1549,room
1550,guessed
1551,duc
1552,de
1553,bouillon
1554,receiving
1555,visitors
1556,brother
1557,engaged
1558,giving
1559,interviews
1560,officers
1561,desired
1562,appointments
1563,army
1564,arranging
1565,details
1566,stores
1567,arms
1568,ammunition
1569,required
1570,turn
1571,called
